Designator,Mid X,Mid Y,Layer,Rotation
C1,55.000000mm,-114.000000mm,Top,180
C2,55.000000mm,-116.250000mm,Top,180
C6,77.150000mm,-114.700000mm,Top,0
C7,77.150000mm,-118.700000mm,Top,0
C8,136.850000mm,-69.000000mm,Top,0
C9,144.000000mm,-88.150000mm,Top,90
C38,70.190000mm,-95.750000mm,Top,270
C39,78.500000mm,-95.000000mm,Top,180
C40,78.500000mm,-102.750000mm,Top,180
C41,74.450000mm,-58.500000mm,Top,90
D1,55.000000mm,-111.750000mm,Top,0
D2,66.750000mm,-133.500000mm,Top,180
D3,60.437500mm,-110.200000mm,Top,0
D4,67.000000mm,-110.200000mm,Top,180
D5,111.750000mm,-118.250000mm,Top,0
L1,65.250000mm,-113.700000mm,Top,0
Q1,66.000000mm,-64.200000mm,Top,270
R1,63.000000mm,-110.200000mm,Top,90
R2,64.500000mm,-110.200000mm,Top,90
R3,62.265000mm,-81.000000mm,Top,0
R4,62.265000mm,-77.250000mm,Top,0
U3,138.750000mm,-74.250000mm,Top,0
U4,68.500000mm,-74.250000mm,Top,270
U5,131.000000mm,-109.250000mm,Top,270
U6,67.250000mm,-90.000000mm,Top,0
U7,136.250000mm,-54.620000mm,Top,90
U8,100.000000mm,-65.865000mm,Top,270
